"date","geography","geography code","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family household; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: Dependent children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: Dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent; measures: Value","Household Composition: One family only: Lone parent: Dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types; measures: Value","Household Composition: Other household types: With dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"2011","E00061596","E00061596","Total",136,33,21,12,92,20,58,27,13,18,8,2,5,1,6,5,1,11,6,0,3,2
"2011","E00061486","E00061486","Total",147,53,19,34,87,8,37,16,14,7,20,10,10,0,22,16,6,7,3,0,0,4
"2011","E00061500","E00061500","Total",122,37,26,11,79,27,38,17,13,8,7,4,3,0,7,3,4,6,2,0,1,3
"2011","E00061501","E00061501","Total",117,68,26,42,45,6,22,13,6,3,7,6,1,0,10,6,4,4,0,0,1,3
"2011","E00061502","E00061502","Total",125,37,24,13,85,19,33,13,14,6,15,5,8,2,18,9,9,3,1,0,0,2
"2011","E00061503","E00061503","Total",116,43,14,29,64,6,27,8,16,3,13,10,2,1,18,10,8,9,2,1,4,2
"2011","E00061505","E00061505","Total",121,30,9,21,82,3,29,9,10,10,25,12,9,4,25,17,8,9,7,0,0,2
"2011","E00061487","E00061487","Total",131,27,16,11,91,5,31,11,14,6,21,10,10,1,34,27,7,13,5,0,0,8
"2011","E00061488","E00061488","Total",119,25,13,12,82,6,41,16,16,9,13,4,6,3,22,14,8,12,8,0,0,4
"2011","E00061489","E00061489","Total",113,27,13,14,74,8,34,16,11,7,13,4,8,1,19,12,7,12,7,0,0,5
"2011","E00061490","E00061490","Total",122,31,8,23,86,5,46,16,27,3,21,15,5,1,14,9,5,5,4,0,0,1
"2011","E00061504","E00061504","Total",120,29,14,15,79,3,35,11,14,10,13,5,7,1,28,22,6,12,3,0,0,9
"2011","E00061821","E00061821","Total",121,38,17,21,76,15,43,15,15,13,10,5,5,0,8,6,2,7,0,0,0,7
"2011","E00061822","E00061822","Total",124,26,12,14,93,12,52,23,19,10,20,9,8,3,9,3,6,5,1,0,0,4
"2011","E00061823","E00061823","Total",130,49,35,14,78,24,38,20,9,9,8,5,3,0,8,4,4,3,0,0,0,3
"2011","E00061824","E00061824","Total",124,40,15,25,79,10,42,13,22,7,18,10,7,1,9,3,6,5,2,0,0,3
"2011","E00061825","E00061825","Total",181,84,30,54,87,19,38,21,11,6,22,17,4,1,8,3,5,10,3,1,2,4
"2011","E00061830","E00061830","Total",134,77,45,32,49,10,19,11,6,2,11,8,3,0,9,8,1,8,1,1,0,6
"2011","E00061820","E00061820","Total",140,49,19,30,86,12,49,21,19,9,11,5,6,0,14,8,6,5,0,0,1,4
"2011","E00061826","E00061826","Total",153,47,21,26,100,8,57,22,25,10,18,9,9,0,17,11,6,6,1,0,2,3
"2011","E00061827","E00061827","Total",147,53,18,35,91,7,39,17,21,1,27,12,14,1,18,10,8,3,1,0,0,2
"2011","E00061828","E00061828","Total",129,35,11,24,90,12,54,26,19,9,14,5,6,3,10,5,5,4,1,0,0,3
"2011","E00061829","E00061829","Total",134,48,7,41,77,7,24,9,13,2,24,11,10,3,22,17,5,9,1,0,0,8
"2011","E00061771","E00061771","Total",124,32,19,13,80,4,38,14,12,12,14,8,4,2,24,15,9,12,6,1,0,5
"2011","E00061773","E00061773","Total",127,40,15,25,81,5,30,8,17,5,15,4,9,2,31,23,8,6,4,0,0,2
"2011","E00061774","E00061774","Total",129,32,16,16,80,4,38,14,19,5,16,6,10,0,22,8,14,17,15,0,0,2
"2011","E00061775","E00061775","Total",128,37,27,10,85,9,39,12,15,12,23,11,11,1,14,9,5,6,5,0,0,1
"2011","E00061763","E00061763","Total",130,38,19,19,82,5,30,8,18,4,15,5,9,1,32,19,13,10,5,0,0,5
"2011","E00061764","E00061764","Total",125,18,9,9,92,5,39,9,20,10,14,2,10,2,34,21,13,15,7,0,1,7
"2011","E00061766","E00061766","Total",125,46,25,21,70,6,31,10,13,8,12,4,6,2,21,11,10,9,4,0,0,5
"2011","E00061767","E00061767","Total",133,40,23,17,80,5,40,17,12,11,14,3,10,1,21,14,7,13,7,0,1,5
"2011","E00061770","E00061770","Total",127,51,43,8,69,13,25,13,5,7,11,5,3,3,20,14,6,7,3,1,0,3
"2011","E00061881","E00061881","Total",160,42,12,30,100,2,40,16,21,3,19,10,8,1,39,32,7,18,10,0,0,8
"2011","E00061888","E00061888","Total",129,39,22,17,84,10,36,17,14,5,19,7,11,1,19,14,5,6,5,0,0,1
"2011","E00061889","E00061889","Total",154,29,4,25,113,2,41,10,26,5,27,7,18,2,43,36,7,12,5,0,0,7
"2011","E00061893","E00061893","Total",132,32,13,19,91,4,38,14,17,7,16,5,11,0,33,21,12,9,5,0,0,4
"2011","E00061887","E00061887","Total",115,31,16,15,81,27,39,18,13,8,9,5,2,2,6,0,6,3,1,0,0,2
"2011","E00061890","E00061890","Total",125,49,27,22,68,18,33,10,13,10,9,2,4,3,8,5,3,8,4,0,0,4
"2011","E00061891","E00061891","Total",124,38,28,10,81,24,47,31,11,5,3,1,2,0,7,1,6,5,2,0,0,3
